flag_id,transaction_id,customer_id,flag_date,flag_category,flagged_amount,investigation_status,loss_amount,detection_method
ACB-RF0000212,ACB-TXN00054173,ACB-C009363,2023-02-27,Account Takeover,20855.11,False Positive,0.0,Rules Engine
ACB-RF0000213,ACB-TXN00054517,ACB-C002973,2025-09-19,Account Takeover,23550.87,Confirmed Fraud,17907.91,Manual Review
ACB-RF0000214,ACB-TXN00054552,ACB-C014007,2023-07-26,Transaction Velocity,11304.55,False Positive,0.0,Manual Review
ACB-RF0000215,ACB-TXN00054686,ACB-C011847,2024-01-11,Account Takeover,23550.17,Confirmed Fraud,0.0,Manual Review
ACB-RF0000216,ACB-TXN00054817,ACB-C004134,2024-03-10,Card Not Present,18.49,Under Review,0.0,Manual Review
ACB-RF0000217,ACB-TXN00054920,ACB-C011590,2023-04-07,Transaction Velocity,316.14,False Positive,43.56,Rules Engine
ACB-RF0000218,ACB-TXN00054940,ACB-C002675,2025-08-15,Transaction Velocity,87.19,Under Review,38.52,Rules Engine
ACB-RF0000219,ACB-TXN00055088,ACB-C008427,2024-08-12,Identity Theft,302.02,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000220,ACB-TXN00056248,ACB-C004371,2023-09-08,Card Not Present,51.31,Under Review,0.0,ML Model
ACB-RF0000221,ACB-TXN00056444,ACB-C010728,2025-09-15,Transaction Velocity,1043.54,Pending,976.87,Rules Engine
ACB-RF0000222,ACB-TXN00057003,ACB-C004282,2025-02-12,Account Takeover,80.0,Confirmed Fraud,7.97,Customer Report
ACB-RF0000223,ACB-TXN00057125,ACB-C004771,2026-02-07,Unusual Geography,15231.67,False Positive,0.0,Rules Engine
ACB-RF0000224,ACB-TXN00057127,ACB-C009082,2025-05-26,Card Not Present,40.0,Under Review,0.0,Rules Engine
ACB-RF0000225,ACB-TXN00057860,ACB-C012729,2024-08-23,Card Not Present,432.91,Confirmed Fraud,359.47,Rules Engine
ACB-RF0000226,ACB-TXN00058494,ACB-C005264,2023-01-26,Identity Theft,80.58,Under Review,0.0,ML Model
ACB-RF0000227,ACB-TXN00058917,ACB-C011879,2024-07-30,Identity Theft,78445.21,Confirmed Fraud,0.0,ML Model
ACB-RF0000228,ACB-TXN00058932,ACB-C004940,2023-12-03,Transaction Velocity,128.48,Under Review,20.8,Rules Engine
ACB-RF0000229,ACB-TXN00059179,ACB-C001377,2023-05-07,Card Not Present,90.09,Under Review,0.0,Manual Review
ACB-RF0000230,ACB-TXN00059937,ACB-C008190,2024-02-24,Account Takeover,76.67,False Positive,0.0,ML Model
ACB-RF0000231,ACB-TXN00060226,ACB-C001184,2024-11-01,Card Not Present,304.65,False Positive,165.97,ML Model
ACB-RF0000232,ACB-TXN00060313,ACB-C002770,2023-06-12,Card Not Present,66411.97,Under Review,56177.34,Rules Engine
ACB-RF0000233,ACB-TXN00060463,ACB-C014453,2023-10-27,Identity Theft,832.23,Confirmed Fraud,0.0,Manual Review
ACB-RF0000234,ACB-TXN00060546,ACB-C005395,2025-12-23,Transaction Velocity,620.66,Confirmed Fraud,0.0,Customer Report
ACB-RF0000235,ACB-TXN00060801,ACB-C011815,2023-12-30,Account Takeover,153.78,Confirmed Fraud,0.0,ML Model
ACB-RF0000236,ACB-TXN00060868,ACB-C004814,2024-01-15,Identity Theft,589.4,False Positive,171.76,Manual Review
ACB-RF0000237,ACB-TXN00061202,ACB-C001774,2023-03-17,Account Takeover,18004.04,Under Review,0.0,Customer Report
ACB-RF0000238,ACB-TXN00061213,ACB-C012789,2023-03-03,Transaction Velocity,1034.74,Under Review,0.0,Rules Engine
ACB-RF0000239,ACB-TXN00061600,ACB-C014660,2025-09-15,Account Takeover,86803.01,Pending,0.0,Rules Engine
ACB-RF0000240,ACB-TXN00061613,ACB-C009692,2023-11-06,Card Not Present,589.92,Pending,0.0,ML Model
ACB-RF0000241,ACB-TXN00061890,ACB-C004504,2026-02-13,Account Takeover,258237.19,Under Review,132464.67,Customer Report
ACB-RF0000242,ACB-TXN00061990,ACB-C005383,2024-10-07,Money Laundering Suspicion,19825.15,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000243,ACB-TXN00062315,ACB-C009876,2024-02-15,Card Not Present,59.21,Under Review,0.0,ML Model
ACB-RF0000244,ACB-TXN00062584,ACB-C003803,2026-03-09,Unusual Geography,7450.2,Under Review,1274.53,ML Model
ACB-RF0000245,ACB-TXN00063461,ACB-C012689,2024-12-25,Transaction Velocity,14.78,False Positive,0.0,Customer Report
ACB-RF0000246,ACB-TXN00064134,ACB-C011709,2023-10-16,Identity Theft,14248.65,Confirmed Fraud,3314.82,Customer Report
ACB-RF0000247,ACB-TXN00064219,ACB-C004417,2023-03-23,Card Not Present,154.24,False Positive,119.69,ML Model
ACB-RF0000248,ACB-TXN00064263,ACB-C007137,2023-09-23,Synthetic Identity,500.0,Pending,0.0,ML Model
ACB-RF0000249,ACB-TXN00064318,ACB-C014534,2025-07-11,Account Takeover,55.16,Confirmed Fraud,52.38,ML Model
ACB-RF0000250,ACB-TXN00064412,ACB-C014985,2024-02-13,Identity Theft,42629.84,Confirmed Fraud,0.0,Customer Report
ACB-RF0000251,ACB-TXN00064507,ACB-C003484,2025-12-30,Transaction Velocity,605.81,False Positive,350.52,Rules Engine
ACB-RF0000252,ACB-TXN00065256,ACB-C005699,2023-07-10,Account Takeover,180097.19,Confirmed Fraud,96221.8,Rules Engine
ACB-RF0000253,ACB-TXN00065678,ACB-C010042,2024-05-19,Card Not Present,232.69,Under Review,0.0,Rules Engine
ACB-RF0000254,ACB-TXN00065747,ACB-C001040,2023-09-25,Card Not Present,628.75,Confirmed Fraud,0.0,Manual Review
ACB-RF0000255,ACB-TXN00066001,ACB-C001156,2024-08-22,Unusual Geography,15904.72,Confirmed Fraud,0.0,Customer Report
ACB-RF0000256,ACB-TXN00066356,ACB-C011265,2024-03-29,Account Takeover,2084.29,Pending,561.92,Rules Engine
ACB-RF0000257,ACB-TXN00066367,ACB-C013784,2023-10-28,Identity Theft,2403.63,Under Review,0.0,Rules Engine
ACB-RF0000258,ACB-TXN00066475,ACB-C007047,2025-05-14,Money Laundering Suspicion,150.29,Under Review,0.0,Rules Engine
ACB-RF0000259,ACB-TXN00066731,ACB-C013447,2024-01-11,Identity Theft,138.74,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000260,ACB-TXN00067109,ACB-C007586,2026-03-31,Account Takeover,60.0,Under Review,0.0,Manual Review
ACB-RF0000261,ACB-TXN00067203,ACB-C010506,2023-07-12,Card Not Present,698.51,Confirmed Fraud,640.74,Rules Engine
ACB-RF0000262,ACB-TXN00067308,ACB-C001515,2024-05-12,Card Not Present,618.43,Confirmed Fraud,0.0,ML Model
ACB-RF0000263,ACB-TXN00067402,ACB-C009579,2023-03-09,Synthetic Identity,884.96,Under Review,525.16,Rules Engine
ACB-RF0000264,ACB-TXN00067536,ACB-C004245,2025-11-03,Identity Theft,619.23,Pending,0.0,ML Model
ACB-RF0000265,ACB-TXN00067540,ACB-C013895,2023-09-05,Synthetic Identity,1659.03,False Positive,0.0,Rules Engine
ACB-RF0000266,ACB-TXN00067569,ACB-C002527,2025-04-25,Transaction Velocity,5263.36,Under Review,0.0,Rules Engine
ACB-RF0000267,ACB-TXN00067681,ACB-C004666,2024-09-26,Synthetic Identity,267.31,Under Review,0.0,Rules Engine
ACB-RF0000268,ACB-TXN00067931,ACB-C012539,2024-12-21,Account Takeover,25.57,Confirmed Fraud,18.25,ML Model
ACB-RF0000269,ACB-TXN00068023,ACB-C006722,2023-05-13,Identity Theft,139.85,Under Review,0.0,Manual Review
ACB-RF0000270,ACB-TXN00068073,ACB-C009483,2023-09-15,Unusual Geography,161529.82,Pending,0.0,ML Model
ACB-RF0000271,ACB-TXN00068229,ACB-C000935,2023-03-29,Transaction Velocity,37287.87,Pending,2278.03,ML Model
ACB-RF0000272,ACB-TXN00068289,ACB-C004707,2025-10-24,Transaction Velocity,42.42,False Positive,28.83,Customer Report
ACB-RF0000273,ACB-TXN00068706,ACB-C007420,2025-08-10,Account Takeover,22.62,False Positive,21.09,ML Model
ACB-RF0000274,ACB-TXN00068957,ACB-C010633,2024-05-01,Card Not Present,16417.88,False Positive,0.0,Rules Engine
ACB-RF0000275,ACB-TXN00069100,ACB-C014822,2023-05-18,Card Not Present,16367.84,Confirmed Fraud,0.0,Customer Report
ACB-RF0000276,ACB-TXN00069847,ACB-C010719,2024-05-04,Identity Theft,20.07,False Positive,0.0,Rules Engine
ACB-RF0000277,ACB-TXN00070738,ACB-C005005,2025-02-17,Card Not Present,247.57,False Positive,0.0,Rules Engine
ACB-RF0000278,ACB-TXN00071261,ACB-C012253,2025-08-17,Transaction Velocity,18418.82,Confirmed Fraud,15448.63,Manual Review
ACB-RF0000279,ACB-TXN00071362,ACB-C001514,2023-04-02,Account Takeover,15390.06,Confirmed Fraud,5227.92,Customer Report
ACB-RF0000280,ACB-TXN00071479,ACB-C011070,2026-01-27,Transaction Velocity,31419.26,Under Review,0.0,ML Model
ACB-RF0000281,ACB-TXN00071837,ACB-C006266,2023-03-06,Identity Theft,13130.68,Confirmed Fraud,4207.71,ML Model
ACB-RF0000282,ACB-TXN00072258,ACB-C011262,2025-08-20,Card Not Present,100.0,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000283,ACB-TXN00072417,ACB-C013033,2023-08-02,Synthetic Identity,38539.13,Under Review,33454.99,Manual Review
ACB-RF0000284,ACB-TXN00072688,ACB-C000973,2023-09-29,Card Not Present,694.28,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000285,ACB-TXN00072732,ACB-C013748,2025-12-20,Account Takeover,38.36,Under Review,29.38,Customer Report
ACB-RF0000286,ACB-TXN00073779,ACB-C004988,2023-09-17,Transaction Velocity,52078.45,Pending,0.0,ML Model
ACB-RF0000287,ACB-TXN00074382,ACB-C002029,2023-01-19,Unusual Geography,153.86,Under Review,56.05,Rules Engine
ACB-RF0000288,ACB-TXN00074472,ACB-C000303,2023-11-26,Account Takeover,57.35,Confirmed Fraud,34.59,Customer Report
ACB-RF0000289,ACB-TXN00074603,ACB-C002985,2023-03-17,Money Laundering Suspicion,58.16,Pending,0.0,Rules Engine
ACB-RF0000290,ACB-TXN00075073,ACB-C012560,2024-01-21,Card Not Present,124231.32,False Positive,78926.61,Manual Review
ACB-RF0000291,ACB-TXN00075139,ACB-C000718,2023-12-18,Card Not Present,745.76,Under Review,0.0,Customer Report
ACB-RF0000292,ACB-TXN00076271,ACB-C008801,2025-10-10,Identity Theft,24402.72,Confirmed Fraud,13850.73,Manual Review
ACB-RF0000293,ACB-TXN00076784,ACB-C008608,2025-10-07,Identity Theft,80.0,Confirmed Fraud,69.03,Rules Engine
ACB-RF0000294,ACB-TXN00077164,ACB-C007371,2023-05-30,Transaction Velocity,60.53,Confirmed Fraud,0.0,ML Model
ACB-RF0000295,ACB-TXN00077496,ACB-C004245,2025-07-26,Identity Theft,13519.6,Confirmed Fraud,1569.38,Rules Engine
ACB-RF0000296,ACB-TXN00077718,ACB-C004958,2026-02-23,Transaction Velocity,200.0,False Positive,0.0,Rules Engine
ACB-RF0000297,ACB-TXN00077801,ACB-C012986,2024-12-24,Identity Theft,2946.0,Under Review,0.0,ML Model
ACB-RF0000298,ACB-TXN00078250,ACB-C010503,2026-02-01,Transaction Velocity,15.5,False Positive,1.66,Rules Engine
ACB-RF0000299,ACB-TXN00078306,ACB-C002583,2023-05-04,Synthetic Identity,12020.3,Confirmed Fraud,6386.04,Manual Review
ACB-RF0000300,ACB-TXN00078509,ACB-C007522,2025-08-02,Account Takeover,33254.1,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000301,ACB-TXN00078530,ACB-C002589,2024-04-17,Transaction Velocity,181.61,False Positive,0.0,ML Model
ACB-RF0000302,ACB-TXN00078790,ACB-C008362,2025-10-11,Transaction Velocity,5.14,Under Review,0.0,Rules Engine
ACB-RF0000303,ACB-TXN00078979,ACB-C006800,2024-08-10,Identity Theft,615.23,False Positive,280.82,Customer Report
ACB-RF0000304,ACB-TXN00079047,ACB-C001314,2024-11-28,Account Takeover,319.67,Confirmed Fraud,0.0,ML Model
ACB-RF0000305,ACB-TXN00079149,ACB-C013028,2024-04-10,Card Not Present,11.76,False Positive,0.0,Rules Engine
ACB-RF0000306,ACB-TXN00079165,ACB-C014613,2024-09-06,Transaction Velocity,74.46,False Positive,0.0,ML Model
ACB-RF0000307,ACB-TXN00079255,ACB-C001867,2025-02-04,Account Takeover,49.94,Pending,0.0,ML Model
ACB-RF0000308,ACB-TXN00079272,ACB-C011979,2025-09-13,Identity Theft,5855.34,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000309,ACB-TXN00079347,ACB-C005047,2023-10-29,Card Not Present,60.0,False Positive,35.47,Rules Engine
ACB-RF0000310,ACB-TXN00079476,ACB-C002848,2024-06-03,Account Takeover,122.88,Confirmed Fraud,0.0,ML Model
ACB-RF0000311,ACB-TXN00079941,ACB-C014795,2023-01-05,Account Takeover,358.33,Confirmed Fraud,113.36,Rules Engine
ACB-RF0000312,ACB-TXN00080223,ACB-C013159,2024-11-06,Account Takeover,100.55,Confirmed Fraud,25.98,Manual Review
ACB-RF0000313,ACB-TXN00080771,ACB-C010526,2024-08-08,Synthetic Identity,23.36,Under Review,18.4,Rules Engine
ACB-RF0000314,ACB-TXN00081094,ACB-C009916,2025-11-26,Transaction Velocity,389.75,Confirmed Fraud,346.38,ML Model
ACB-RF0000315,ACB-TXN00081519,ACB-C004564,2025-04-12,Account Takeover,39.46,Confirmed Fraud,15.24,Rules Engine
ACB-RF0000316,ACB-TXN00081712,ACB-C000705,2023-06-15,Identity Theft,50.19,Pending,0.0,Rules Engine
ACB-RF0000317,ACB-TXN00082251,ACB-C010269,2026-03-25,Identity Theft,19109.8,Under Review,16628.76,Rules Engine
ACB-RF0000318,ACB-TXN00082411,ACB-C011766,2026-01-08,Identity Theft,10627.79,Under Review,0.0,Manual Review
ACB-RF0000319,ACB-TXN00082730,ACB-C007200,2026-01-27,Synthetic Identity,3259.0,False Positive,0.0,Rules Engine
ACB-RF0000320,ACB-TXN00083047,ACB-C013791,2025-04-01,Card Not Present,7203.11,Under Review,0.0,Manual Review
ACB-RF0000321,ACB-TXN00083596,ACB-C008126,2023-10-27,Identity Theft,242.71,False Positive,35.43,Rules Engine
ACB-RF0000322,ACB-TXN00083702,ACB-C010499,2025-05-28,Card Not Present,74.12,Confirmed Fraud,41.93,Rules Engine
ACB-RF0000323,ACB-TXN00083815,ACB-C011755,2026-03-10,Synthetic Identity,1691.82,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000324,ACB-TXN00083917,ACB-C012309,2025-06-12,Synthetic Identity,7019.0,Confirmed Fraud,0.0,ML Model
ACB-RF0000325,ACB-TXN00084125,ACB-C007570,2025-10-29,Unusual Geography,517.58,False Positive,0.0,Rules Engine
ACB-RF0000326,ACB-TXN00084392,ACB-C009247,2025-06-02,Card Not Present,796.63,Pending,0.0,Rules Engine
ACB-RF0000327,ACB-TXN00084404,ACB-C009945,2024-03-08,Identity Theft,291.95,Confirmed Fraud,103.16,Rules Engine
ACB-RF0000328,ACB-TXN00084429,ACB-C003901,2026-02-23,Identity Theft,2.8,Confirmed Fraud,0.39,Rules Engine
ACB-RF0000329,ACB-TXN00084580,ACB-C004759,2025-12-06,Identity Theft,26.01,Confirmed Fraud,9.86,Manual Review
ACB-RF0000330,ACB-TXN00084614,ACB-C003933,2025-07-24,Account Takeover,7887.52,Pending,0.0,ML Model
ACB-RF0000331,ACB-TXN00084809,ACB-C009810,2024-11-28,Transaction Velocity,72.49,Pending,27.78,Manual Review
ACB-RF0000332,ACB-TXN00085062,ACB-C014902,2023-08-23,Transaction Velocity,665.24,False Positive,0.0,Rules Engine
ACB-RF0000333,ACB-TXN00085484,ACB-C005420,2023-02-16,Account Takeover,113.15,Confirmed Fraud,0.0,ML Model
ACB-RF0000334,ACB-TXN00085513,ACB-C012558,2024-02-09,Account Takeover,5315.97,Under Review,2950.49,ML Model
ACB-RF0000335,ACB-TXN00085686,ACB-C014967,2025-12-07,Transaction Velocity,62.27,Confirmed Fraud,0.0,Manual Review
ACB-RF0000336,ACB-TXN00085789,ACB-C005358,2025-11-01,Synthetic Identity,101.33,False Positive,0.0,Manual Review
ACB-RF0000337,ACB-TXN00085978,ACB-C007926,2023-12-08,Synthetic Identity,1997.0,False Positive,0.0,ML Model
ACB-RF0000338,ACB-TXN00086111,ACB-C012103,2023-01-01,Card Not Present,81.55,False Positive,51.91,Manual Review
ACB-RF0000339,ACB-TXN00086240,ACB-C001550,2024-12-26,Identity Theft,75536.91,Confirmed Fraud,48838.03,Rules Engine
ACB-RF0000340,ACB-TXN00086649,ACB-C002871,2023-12-10,Card Not Present,48.33,False Positive,0.0,Customer Report
ACB-RF0000341,ACB-TXN00086658,ACB-C011487,2025-12-07,Account Takeover,59.35,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000342,ACB-TXN00086742,ACB-C008250,2024-08-21,Money Laundering Suspicion,6288.85,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000343,ACB-TXN00086780,ACB-C008504,2024-03-07,Synthetic Identity,923.87,False Positive,0.0,Rules Engine
ACB-RF0000344,ACB-TXN00086846,ACB-C005150,2023-09-25,Account Takeover,17.11,Under Review,0.0,Rules Engine
ACB-RF0000345,ACB-TXN00086886,ACB-C001310,2024-11-23,Synthetic Identity,402.49,Confirmed Fraud,0.0,ML Model
ACB-RF0000346,ACB-TXN00087014,ACB-C014550,2025-08-27,Transaction Velocity,31097.05,Pending,27954.54,ML Model
ACB-RF0000347,ACB-TXN00087035,ACB-C005482,2024-09-01,Card Not Present,502.03,Pending,0.0,Rules Engine
ACB-RF0000348,ACB-TXN00087038,ACB-C006618,2025-02-18,Money Laundering Suspicion,116.06,Pending,32.65,Rules Engine
ACB-RF0000349,ACB-TXN00087467,ACB-C012168,2025-11-11,Account Takeover,6840.93,Under Review,0.0,Rules Engine
ACB-RF0000350,ACB-TXN00087589,ACB-C010706,2025-03-19,Account Takeover,126.94,Confirmed Fraud,0.0,ML Model
ACB-RF0000351,ACB-TXN00087758,ACB-C005528,2025-01-27,Identity Theft,227.55,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000352,ACB-TXN00087861,ACB-C001320,2023-09-25,Card Not Present,7835.76,Confirmed Fraud,5356.73,Manual Review
ACB-RF0000353,ACB-TXN00087952,ACB-C009145,2025-05-22,Account Takeover,16.81,Confirmed Fraud,9.12,ML Model
ACB-RF0000354,ACB-TXN00088586,ACB-C004733,2023-11-11,Card Not Present,133.46,False Positive,39.3,Rules Engine
ACB-RF0000355,ACB-TXN00088667,ACB-C006730,2023-10-10,Account Takeover,17953.41,Under Review,0.0,Rules Engine
ACB-RF0000356,ACB-TXN00088729,ACB-C006405,2025-05-30,Identity Theft,27.85,False Positive,0.0,ML Model
ACB-RF0000357,ACB-TXN00088745,ACB-C006455,2023-01-22,Synthetic Identity,247990.63,Under Review,0.0,Rules Engine
ACB-RF0000358,ACB-TXN00088814,ACB-C006641,2023-04-09,Card Not Present,300.0,Confirmed Fraud,199.55,ML Model
ACB-RF0000359,ACB-TXN00088910,ACB-C007728,2024-12-31,Synthetic Identity,205.3,Confirmed Fraud,89.32,Rules Engine
ACB-RF0000360,ACB-TXN00088945,ACB-C006250,2024-01-02,Money Laundering Suspicion,7620.43,Pending,51.17,ML Model
ACB-RF0000361,ACB-TXN00089743,ACB-C013689,2024-04-25,Card Not Present,60.3,Confirmed Fraud,47.01,Rules Engine
ACB-RF0000362,ACB-TXN00089964,ACB-C008374,2023-03-28,Account Takeover,154650.11,Under Review,122142.55,Rules Engine
ACB-RF0000363,ACB-TXN00090451,ACB-C013019,2023-08-02,Unusual Geography,795.8,Under Review,0.0,ML Model
ACB-RF0000364,ACB-TXN00090859,ACB-C008764,2023-11-09,Unusual Geography,88950.13,False Positive,0.0,Rules Engine
ACB-RF0000365,ACB-TXN00090881,ACB-C003083,2025-07-03,Account Takeover,1324.2,Confirmed Fraud,46.55,Customer Report
ACB-RF0000366,ACB-TXN00090932,ACB-C010575,2024-03-16,Transaction Velocity,75484.84,Confirmed Fraud,65403.97,Rules Engine
ACB-RF0000367,ACB-TXN00091744,ACB-C007487,2025-10-14,Synthetic Identity,1165.98,Under Review,421.68,Customer Report
ACB-RF0000368,ACB-TXN00092235,ACB-C001548,2025-08-17,Identity Theft,181.63,Confirmed Fraud,171.19,Rules Engine
ACB-RF0000369,ACB-TXN00092557,ACB-C012534,2023-07-01,Synthetic Identity,50.85,False Positive,24.65,Rules Engine
ACB-RF0000370,ACB-TXN00092787,ACB-C003634,2025-12-04,Account Takeover,100.0,Under Review,0.0,ML Model
ACB-RF0000371,ACB-TXN00092791,ACB-C000811,2023-05-06,Card Not Present,299.55,False Positive,140.7,Rules Engine
ACB-RF0000372,ACB-TXN00092822,ACB-C006153,2023-07-27,Identity Theft,477.38,False Positive,7.02,Customer Report
ACB-RF0000373,ACB-TXN00092993,ACB-C009955,2025-08-10,Card Not Present,16542.16,False Positive,0.0,Manual Review
ACB-RF0000374,ACB-TXN00093506,ACB-C005640,2023-08-22,Structuring,822.64,Confirmed Fraud,0.0,ML Model
ACB-RF0000375,ACB-TXN00094029,ACB-C003403,2025-05-14,Transaction Velocity,133170.16,Confirmed Fraud,48524.57,Manual Review
ACB-RF0000376,ACB-TXN00094468,ACB-C009693,2023-06-24,Synthetic Identity,80.0,False Positive,0.0,Rules Engine
ACB-RF0000377,ACB-TXN00094588,ACB-C005287,2024-12-05,Unusual Geography,127449.58,Under Review,0.0,Customer Report
ACB-RF0000378,ACB-TXN00094697,ACB-C009765,2025-09-27,Identity Theft,62870.05,Pending,0.0,ML Model
ACB-RF0000379,ACB-TXN00094833,ACB-C002538,2024-09-21,Card Not Present,52.87,Under Review,46.38,Rules Engine
ACB-RF0000380,ACB-TXN00095197,ACB-C012139,2024-01-30,Money Laundering Suspicion,134.67,Confirmed Fraud,99.41,ML Model
ACB-RF0000381,ACB-TXN00095511,ACB-C006396,2023-01-04,Account Takeover,748.2,Confirmed Fraud,554.4,Rules Engine
ACB-RF0000382,ACB-TXN00095568,ACB-C010019,2025-01-27,Account Takeover,243.49,Under Review,0.0,Rules Engine
ACB-RF0000383,ACB-TXN00095640,ACB-C009494,2023-04-14,Synthetic Identity,35.85,Under Review,28.86,Rules Engine
ACB-RF0000384,ACB-TXN00096003,ACB-C012713,2026-03-29,Money Laundering Suspicion,36383.85,Pending,0.0,ML Model
ACB-RF0000385,ACB-TXN00096012,ACB-C006448,2026-03-05,Transaction Velocity,421.86,False Positive,209.24,Rules Engine
ACB-RF0000386,ACB-TXN00096242,ACB-C004892,2024-09-20,Unusual Geography,500.0,Under Review,309.81,Rules Engine
ACB-RF0000387,ACB-TXN00096280,ACB-C000394,2024-04-23,Synthetic Identity,14087.52,Under Review,0.0,ML Model
ACB-RF0000388,ACB-TXN00096374,ACB-C009793,2025-07-18,Card Not Present,1653.39,Under Review,145.91,Rules Engine
ACB-RF0000389,ACB-TXN00097113,ACB-C005244,2026-03-21,Identity Theft,60.78,False Positive,0.0,Rules Engine
ACB-RF0000390,ACB-TXN00097869,ACB-C004025,2024-08-07,Identity Theft,151.79,Under Review,1.31,Rules Engine
ACB-RF0000391,ACB-TXN00097962,ACB-C012370,2023-10-15,Unusual Geography,1864.38,Confirmed Fraud,851.06,Rules Engine
ACB-RF0000392,ACB-TXN00098161,ACB-C012469,2023-12-24,Identity Theft,1767.06,Confirmed Fraud,1274.51,Customer Report
ACB-RF0000393,ACB-TXN00098334,ACB-C012908,2024-01-30,Account Takeover,502.22,Confirmed Fraud,389.22,ML Model
ACB-RF0000394,ACB-TXN00099053,ACB-C005273,2025-10-28,Card Not Present,702.31,Under Review,0.0,Rules Engine
ACB-RF0000395,ACB-TXN00099922,ACB-C003480,2024-01-27,Card Not Present,143.91,Confirmed Fraud,29.32,ML Model
ACB-RF0000396,ACB-TXN00099969,ACB-C008631,2025-07-15,Card Not Present,6737.51,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000397,ACB-TXN00100559,ACB-C003833,2024-11-07,Card Not Present,118353.69,Under Review,0.0,Manual Review
ACB-RF0000398,ACB-TXN00100684,ACB-C010615,2023-03-09,Account Takeover,135.67,False Positive,0.0,Rules Engine
ACB-RF0000399,ACB-TXN00100988,ACB-C012097,2023-02-26,Card Not Present,76.03,Under Review,65.91,Customer Report
ACB-RF0000400,ACB-TXN00101009,ACB-C009413,2023-08-09,Card Not Present,287.59,Confirmed Fraud,184.09,ML Model
ACB-RF0000401,ACB-TXN00101614,ACB-C006141,2024-10-05,Synthetic Identity,6968.05,Confirmed Fraud,3868.71,Rules Engine
ACB-RF0000402,ACB-TXN00102061,ACB-C001363,2023-01-20,Account Takeover,104.56,Confirmed Fraud,0.0,ML Model
ACB-RF0000403,ACB-TXN00102334,ACB-C000972,2024-07-22,Account Takeover,90321.77,Pending,0.0,Rules Engine
ACB-RF0000404,ACB-TXN00102720,ACB-C009188,2023-11-22,Unusual Geography,48.03,False Positive,4.81,Rules Engine
ACB-RF0000405,ACB-TXN00103024,ACB-C012146,2026-01-13,Account Takeover,1068.76,Confirmed Fraud,0.0,ML Model
ACB-RF0000406,ACB-TXN00103414,ACB-C005049,2026-01-01,Synthetic Identity,131.38,False Positive,0.0,Manual Review
ACB-RF0000407,ACB-TXN00103750,ACB-C003875,2025-10-22,Synthetic Identity,127.75,Confirmed Fraud,0.0,Manual Review
ACB-RF0000408,ACB-TXN00104063,ACB-C008028,2023-12-15,Synthetic Identity,214.69,Confirmed Fraud,167.08,Manual Review
ACB-RF0000409,ACB-TXN00104085,ACB-C009715,2024-12-20,Structuring,262.9,Under Review,139.51,Rules Engine
ACB-RF0000410,ACB-TXN00104106,ACB-C000151,2023-02-11,Transaction Velocity,100.0,Pending,28.78,Rules Engine
ACB-RF0000411,ACB-TXN00104212,ACB-C012214,2024-06-14,Account Takeover,69057.57,Under Review,0.0,Customer Report
ACB-RF0000412,ACB-TXN00104767,ACB-C013932,2023-10-07,Unusual Geography,74.38,Under Review,0.0,Rules Engine
ACB-RF0000413,ACB-TXN00104789,ACB-C011013,2025-03-01,Synthetic Identity,152.42,Pending,0.0,Rules Engine
ACB-RF0000414,ACB-TXN00105021,ACB-C010134,2024-07-21,Card Not Present,1333.52,Under Review,0.0,Customer Report
ACB-RF0000415,ACB-TXN00105353,ACB-C007201,2024-07-22,Identity Theft,102.99,False Positive,0.0,Rules Engine
ACB-RF0000416,ACB-TXN00105565,ACB-C011861,2025-02-01,Money Laundering Suspicion,3283.66,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000417,ACB-TXN00106037,ACB-C000342,2024-06-07,Account Takeover,1458.18,Under Review,402.97,Rules Engine
ACB-RF0000418,ACB-TXN00106428,ACB-C007494,2025-08-17,Account Takeover,704.08,Under Review,0.0,ML Model
ACB-RF0000419,ACB-TXN00106690,ACB-C004611,2025-10-15,Card Not Present,34.43,Confirmed Fraud,8.95,Rules Engine
ACB-RF0000420,ACB-TXN00106777,ACB-C008187,2024-12-29,Synthetic Identity,62.26,Under Review,0.0,Rules Engine
ACB-RF0000421,ACB-TXN00107289,ACB-C005584,2025-01-23,Card Not Present,219.1,Confirmed Fraud,130.89,ML Model
ACB-RF0000422,ACB-TXN00107865,ACB-C001453,2025-05-23,Transaction Velocity,300.0,Confirmed Fraud,0.0,Customer Report
ACB-RF0000423,ACB-TXN00108016,ACB-C006956,2023-10-19,Identity Theft,448.37,False Positive,0.0,ML Model
ACB-RF0000424,ACB-TXN00108072,ACB-C000721,2024-09-23,Identity Theft,61.21,Under Review,9.52,Rules Engine
